"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"327",-69.9377796447967,"324",-71.7134084729389,"325",-71.4526390879399,"325",-71.6838958148277,1,"325",-71.6839,0.003,0.002,0.002,0.002
"273,398,522,822",-14.7461908788937,"281,415,528,798",-29.1270663052974,"128,277,410,535,590,793,837",-3.66114670798812,"128,277,410,535,793",-23.9012452769756,9,"277,410,535,793",-28.17871,0.055,3.044,1.058,0.058
"538",28.7480852335592,"537",25.8015292782755,"532,617",35.8908780599219,"532",25.9896967069285,10,"532",25.87384,0.001,1.006,0.006,0.006
"404,611",37.2267229099346,"379,621",30.1710205006978,"362,398,620,675",43.4254966526924,"362,620",33.3630453873338,2,"362,620",32.88651,0.035,2.015,0.051,0.051
"175,307,416,525,645,767,896",68.0843988405597,"181,282,457,515,670,742,891",39.8720947911208,"69,176,281,319,442,529,646,665,752,891",71.2587560132425,"69,176,281,442,529,646,752,891",48.1232245663738,3,"176,281,442,529,646,752,891",43.09918,0.137,3.064,1.078,0.078
"183,391,578,692,838",-2.94807934913296,"204,382,574,708,819",-11.6253938863937,"121,180,213,379,398,569,706,818,844",17.9745434822604,"180,213,379,569,706,818",-5.48509508366396,2,"180,213,379,569,706,818",-5.99425,0.069,4.039,1.058,1.058
"230,558,767",-13.6401282915268,"243,560,759",-20.9981092190182,"242,489,558,757,787",-3.66865248005336,"242,558,757,787",-14.9592176851015,3,"242,558,757",-20.9489,0.023,2.022,1.022,0.022
"107,235,464,673,893",22.5241137800364,"102,220,455,665,878",0.344351647602011,"101,224,424,468,649,669,853,877",27.1464006592076,"101,224,468,669,877",8.39058292212437,2,"101,224,468,669,877",3.46604,0.052,3.041,0.041,0.041
"529",-27.1840626444298,"529",-28.3269614288346,"510,550",-17.5043373551964,"510,550",-23.3544720158328,1,"510,550",-23.35447,0,1.019,1.019,1.019
"115,243,346,594,695,884",66.353659813328,"138,248,342,603,687,883",47.3197218492229,"124,132,243,375,522,598,689,788,881",75.2375454087023,"132,243,375,522,598,689,881",55.3736872832986,3,"132,243,375,598,689,881",49.60761,0.05,3.051,1.059,0.059
"156,347,731,878",-83.9429388002259,"145,346,732,887",-88.8237037120511,"143,332,382,597,718,887",-70.5006720836256,"143,332,382,718,887",-84.7758340828456,2,"143,332,382,718,887",-84.82377,0.022,2.05,1.05,1.05
"125,455,637,764",-21.8462427999908,"123,440,641,775",-30.5062201665265,"131,435,633,783,794",-15.0739604672358,"131,435,633,783",-28.9662191877796,2,"131,435,633,783",-29.06774,0.032,1.049,0.049,0.049
"244,575,764,867",71.2043894614109,"252,625,627,827,866",46.5644598883594,"253,529,568,746,882",80.1602169499939,"253,568,746,882",62.7407121340126,2,"253,568,746,882",62.7016,1.122,1.049,0.049,0.049
"263,885",158.518443251842,"279,889",149.108188025258,"246,302,667,878",163.448950508539,"246,302,878",154.940578432534,2,"246,302,878",154.92136,0.02,2.024,1.024,1.024
"138,282,390,517,626,728,835",94.6011831564285,"138,184,375,413,416,910",70.3410640729602,"130,192,280,401,517,624,633,737,845,911",107.78477867802,"130,280,401,517,633,737,845,911",86.0964119285377,3,"130,280,401,517,633,737,845",80.18231,1.497,3.042,1.047,0.047
"180,300,439,605,735,885",77.7338149956177,"216,313,435,602,728,888",59.6567944806062,"151,197,314,438,598,729,887",80.6139670281782,"197,314,438,598,729,887",61.5121038150352,10,"197,314,438,598,729,887",61.50925,0.066,1.047,0.047,0.047
"330,670",35.5881306574443,"338,668",22.3643887791141,"337,557,680",26.5204468332426,"337,557,681",23.5625856566901,2,"337,557,681",23.56257,0.01,1.017,1.018,1.018
"537",71.1501535320356,"532",68.9503515741717,"502,535",75.5958204744774,"535",69.594433737626,2,"535",69.59314,0.005,1.002,0.002,0.002
"148,426,579",1.22607947754283,"152,429,568",-5.1458091608513,"154,395,421,579",8.64557656672196,"154,421,579",-3.05548709764552,2,"154,421,579",-3.05665,0.018,1.011,0.011,0.011
"106,404,738",109.536003173066,"136,414,745",102.610742168168,"137,413,416,707,756",117.48818445161,"137,416,756",104.621632629544,2,"137,416,756",104.12423,0.047,2.058,0.061,0.061
"696",36.5441062455685,"702",35.2814206826196,"162,572,706",45.423002944763,"706",35.6612550619277,3,"706",35.27588,0.006,2.01,0.01,0.01
"155,455,601,761",36.821739469456,"133,456,606,742",27.6179541420947,"131,159,431,462,595,605,739,811",54.0608807925263,"131,431,462,595,739,811",38.1985423194412,9,"131,462,595,739,811",30.94958,0.047,4.037,2.059,1.059
"192,513,613,781,900",68.1446943549898,"188,508,604,780,906",56.1992530688981,"187,208,422,496,617,777",91.486250694749,"187,496,617,777",67.6570119877691,3,"187,496,617,777,892",59.57356,0.025,1.5,1.277,0.038
"188,597,822",11.1892311811051,"195,599,813",6.9116728005285,"183,284,509,596,808,845",24.4764317414031,"183,596,808",10.2439228885931,2,"183,596,808",8.96453,0.018,3.02,0.02,0.02
"123,403,799",43.3399637390782,"127,406,804",39.8876558262283,"129,405,417,662,784,799,830",67.1097923955449,"129,405,799,830",46.5789186959727,3,"129,405,799",40.36436,0.012,4.008,1.008,0.008
"324,428,724",15.0641840256914,"315,425,723",-1.11862367800961,"302,424,451,609,694,729,821",23.103119436924,"302,424,694,729",9.93491195936713,3,"302,424,729",0.06795,0.013,4.031,1.031,0.031
"159,310,480,635,790",43.5010182423853,"164,304,512,602,806",29.956652715102,"159,305,312,505,604,629,805",48.1264645401772,"159,305,505,604,629,805",37.1655465453167,5,"159,305,505,604,805",30.59771,0.092,2.048,1.051,0.076
"103,332,466,658,764,873",147.467757776761,"122,331,473,657,798,800",135.659434670178,"114,124,329,472,474,642,759,883",175.415179070936,"124,329,474,642,759,883",143.127527018299,2,"124,329,474,642,759,883",143.12034,0.135,2.051,0.063,0.063
