"true_model","bic_true_model","cpop","bic_cpop","flasso","bic_flasso","adaflasso","bic_adaflasso","best_iter","changepoints","min_bic_flasso","distance_cpop","distance_flasso","distance_adaflasso","distance_best_iter_flasso"
"252,502,752",75.9853080688035,"264,493,771",-48.4228274203265,"248,499,776,795",96.7085739057499,"248,499,776",75.9853080688035,1,"248,499,776",75.98531,0.04,1.031,0.031,0.031
"252,502,752",116.510086409343,"242,508,751",102.989927046584,"239,507,750,795",131.145817219795,"239,507,750",103.080102953337,2,"239,507,750",103.07442,0.017,1.02,0.02,0.02
"252,502,752",103.752180947146,"251,494,748",98.4333204248723,"246,494,749,830",131.004094640134,"246,494,749",98.6200871246737,2,"246,494,749",98.6196,0.013,1.017,0.017,0.017
"252,502,752",108.464777298326,"257,505,748",95.5191792480051,"252,497,518,750",121.920645736417,"252,497,750",97.7247020250715,2,"252,497,750",96.87632,0.012,1.007,0.007,0.007
"252,502,752",75.9853080688035,"264,485,761",31.3056896883495,"202,257,489,767",96.7085739057499,"257,489,767",75.9853080688035,1,"257,489,767",75.98531,0.038,1.033,0.033,0.033
"252,502,752",75.9853080688035,"259,485,744",51.5112156517807,"244,256,485,488,749",117.431839742696,"244,485,749",75.9853080688035,1,"244,485,749",75.98531,0.032,2.021,0.028,0.028
"252,502,752",112.434475641051,"257,505,737",96.0020707847068,"253,497,504,750",129.386589516718,"253,504,750",97.1099779323825,2,"253,504,750",97.10916,0.023,1.005,0.005,0.005
"252,502,752",75.9853080688035,"243,510,749",34.855256989142,"239,508,753",75.9853080688035,"239,508,753",75.9853080688035,1,"239,508,753",75.98531,0.02,0.02,0.02,0.02
"252,502,752",76.3667839165949,"244,505,755",68.56564727383,"238,504,758",82.0724872204315,"238,504,758",75.9853080688035,1,"238,504,758",75.98531,0.014,0.022,0.022,0.022
"252,502,752",81.0855019247705,"251,501,755",74.0257869864886,"247,496,510,755",100.916366594122,"247,496,755",75.9853080688035,1,"247,496,755",75.98531,0.005,1.014,0.014,0.014
"252,502,752",75.9853080688035,"247,501,788,789",-19.5234846548836,"233,500,759",75.9853080688035,"233,500,759",75.9853080688035,1,"233,500,759",75.98531,1.042,0.028,0.028,0.028
"252,502,752",107.018670929351,"252,499,746",95.7250845735722,"241,498,751",113.328916748486,"241,498,751",96.8824875989651,1,"241,498,751",96.88249,0.009,0.016,0.016,0.016
"252,502,752",75.9853080688035,"265,516,750",14.2368941358853,"247,507,515,761",104.143348127772,"247,515,761",75.9853080688035,1,"247,515,761",75.98531,0.029,1.019,0.027,0.027
"252,502,752",142.147304903278,"267,506,727",125.082399390856,"255,501,505,728,756",188.347670377322,"255,501,756",142.204755170636,2,"255,501,756",132.64571,0.044,2.008,0.008,0.008
"252,502,752",75.9853080688035,"252,506,744",-14.328625181081,"234,503,761",75.9853080688035,"234,503,761",75.9853080688035,1,"234,503,761",75.98531,0.012,0.028,0.028,0.028
"252,502,752",75.9853080688035,"227,512,742",33.5574826300881,"222,223,505,758",96.7085739057499,"223,505,758",75.9853080688035,1,"223,505,758",75.98531,0.045,1.038,0.038,0.038
"252,502,752",128.03740355611,"256,501,741",123.566741491835,"250,493,500,753",173.408966551093,"250,500,753",125.762147631522,2,"250,500,753",125.74627,0.016,1.005,0.005,0.005
